年度,作品名稱,摘要,主要技術,競賽成果,狀態,資料確認
2022,打擊病毒救地球,由索尼打擊病毒大作戰延伸升級，擴充大型發射裝置、雙面遊戲版與多人展演。,光感射擊、micro:bit、LED燈光、隨機目標、大型互動裝置,親子天下Maker Party－拯救地球大作戰：最佳方案,completed,verified
2023,救命恩人,針對危險或緊急情境，設計提醒、求救或協助救援的裝置。,感測器、警報、通訊,IEYI臺灣選拔：銀牌,completed,verified
2023,動次動次動－要活就要動,以節奏、音樂與身體動作鼓勵學生增加運動量。,micro:bit、加速度感測、動作判斷、音樂、LED,國教署科技教育創意實作競賽：縣賽第一名、全國入選獎,completed,verified
2023,綠輪騎跡追風趣,自行車騎乘同時產生電能，記錄行程並計算減碳成果。,自行車發電、GPS、里程感測、碳排計算、App或網頁,國教署科技教育創意實作競賽：縣賽第一名、全國佳作,completed,verified
2024,請幫我澆水,結合AI、物聯網與農業滴灌，讓學生透過植物數位孿生對話理解感測資料與作物需求。,Webduino、OpenAI大型語言模型、Google Sheets、氣象開放資料、智慧滴灌,IEYI臺灣選拔：佳作,completed,verified
2024-2025,健康拾足踏板,同時判斷正確踩踏與身體姿勢，透過音樂與健康幣鼓勵運動。,壓力感測、姿態判斷、雙條件觸發、音樂引導、遊戲化,IEYI臺灣選拔：佳作；第3屆麥克松科技實作競賽：金獎,improving,verified
2024-2025,跳大繩智慧教練,監測6至8位選手起跳時間，以聲光即時回饋同步程度並記錄訓練數據。,壓力感測器、Micro:bit、時間差分析、LED與蜂鳴器、Google Sheets,第2屆麥克松科技實作競賽：乙組銀獎,completed,verified
2024,綠能管家,偵測能源或環境狀況，提醒使用者節約能源。,能源感測、micro:bit、數據顯示,第2屆麥克松科技實作競賽：甲組銅獎,completed,verified
2024,許願機,融合土地公信仰、求籤、擲筊、竹編QR Code、語音祝福與趣味機構。,竹編QR Code、micro:bit、加速度感測、凸輪軸、滾珠機構、語音播放,第11屆索尼創意科學大賞：參賽，未進前20名,completed,verified
2025,樹洞,學生對裝置說出心情，系統辨識語音與情緒，再以燈光回應。,ESP32、錄音、臺語ASR、AI情緒分析、LED,IEYI臺灣選拔：金牌；IYIA印尼國際青少年發明展：銀牌,completed,verified
2025,鯉魚島光速競跑,兩位玩家以體感操作紅、綠光點，在LED賽道上競速。,micro:bit、加速度感測、WS2812、雙人競賽,索尼創意科學大賞：佳作,completed,verified
2025-2026,日月潭環湖競跑,以94點LED環湖光軌、自製壓力踏板與三種遊戲模式重現日月潭環湖競跑。,Micro:bit V2、MakeCode、自製壓力感測器、WS2812、8×8矩陣顯示、AI協作除錯,麥克松科技實作競賽：金獎；114學年度國教署科技教育創意實作競賽：科技任務組國小組佳作,completed,partial
2026,AI食農大使競跑,透過踩踏與手腕晃動，在南投十三鄉鎮進行體感競跑並認識代表農產。,micro:bit、radio群組87、壓力踏板、UART、ESP32、Wi-Fi、MQTT、GitHub Pages,第4屆麥克松科技實作競賽：專題,developing,partial
2026,猴不來,辨識猴子後啟動聲音與爆閃燈驅趕，人類通過時保持安靜。,ESP32、HuskyLens 2、UART 9600、YOLOv8、ONNX、DFPlayer Mini、爆閃燈,IEYI臺灣選拔：銅牌,completed,verified
2026,凱比心感機,面向高齡者與需要情感陪伴者，以自然語音理解情緒並透過柔和RGB燈光回應。,語音轉文字、AI情緒分析、大語言模型、普拉奇克情緒輪、RGB燈光回饋,IEYI臺灣選拔：佳作,completed,verified
2026,匹克球智慧教練,協助初學者練習正拍抽球，辨識常見動作錯誤並即時回饋。,micro:bit、加速度感測、動作特徵、radio廣播、Android平板,國教署科技教育創意實作競賽：準備中,developing,partial
2026,健康竹踏板,延續健康踏板概念，結合竹材與AI協作開發的健康運動專題。,壓力感測、姿態判斷、Codex協作開發,,developing,pending
2026,啟動星際任務,以未來世界、外星文明與能量球為故事，設計三道互動闖關任務。,光敏電阻、雷射感測、彈性位能、摩擦力、磁力、關卡機構,第14屆索尼創意科學大賞：佳作,completed,verified
2026,九宮格手勢互動音樂,九種手勢對應九個音階，手勢出現時同步播放音符與LED漣漪。,AI手勢辨識、網頁、MQTT、ESP32、16×16 LED燈板,,developing,verified
